pID,Event,Valence,Strength,Strength_ReverseCoded
30886,12,Negative,0,0
30886,27,Negative,-32,32
30886,41,Negative,-36,36
30886,46,Negative,-37,37
30886,49,Negative,-31,31
30886,51,Negative,-32,32
30886,53,Negative,-25,25
31141,3,Negative,-23,23
31141,12,Negative,-25,25
31141,27,Negative,-29,29
31141,41,Negative,-16,16
31141,46,Negative,-14,14
31141,49,Negative,-15,15
31141,51,Negative,-24,24
31141,53,Negative,-12,12
30939,3,Negative,-50,50
30939,12,Negative,-27,27
30939,27,Negative,-39,39
30939,41,Negative,-40,40
30939,46,Negative,-43,43
30939,49,Negative,-37,37
30939,51,Negative,-43,43
30939,53,Negative,-32,32
30634,3,Negative,18,-18
30634,12,Negative,-50,50
30634,27,Negative,-50,50
30634,41,Negative,-50,50
30634,46,Negative,-50,50
30634,49,Negative,-50,50
30634,51,Negative,-50,50
30634,53,Negative,-50,50
30775,3,Negative,-50,50
30775,12,Negative,-50,50
30775,27,Negative,-50,50
30775,41,Negative,-32,32
30775,46,Negative,-50,50
30775,49,Negative,-50,50
30775,51,Negative,-50,50
30775,53,Negative,-49,49
31135,3,Negative,-20,20
31135,12,Negative,0,0
31135,27,Negative,-40,40
31135,41,Negative,-26,26
31135,46,Negative,-45,45
31135,49,Negative,-32,32
31135,51,Negative,-39,39
31135,53,Negative,-38,38
31092,3,Negative,-41,41
31092,12,Negative,-50,50
31092,27,Negative,-50,50
31092,41,Negative,-50,50
31092,46,Negative,-50,50
31092,49,Negative,-50,50
31092,51,Negative,-50,50
31092,53,Negative,-50,50
30685,3,Negative,-50,50
30685,12,Negative,4,-4
30685,27,Negative,-50,50
30685,41,Negative,-28,28
30685,46,Negative,-46,46
30685,49,Negative,-35,35
30685,51,Negative,-50,50
30685,53,Negative,0,0
31139,3,Negative,-50,50
31139,12,Negative,-50,50
31139,27,Negative,-41,41
31139,41,Negative,-47,47
31139,46,Negative,-50,50
31139,49,Negative,-22,22
31139,51,Negative,-34,34
31139,53,Negative,-33,33
30579,3,Negative,-37,37
30579,12,Negative,0,0
30579,27,Negative,-50,50
30579,41,Negative,-48,48
30579,46,Negative,-48,48
30579,49,Negative,-45,45
30579,51,Negative,-48,48
30579,53,Negative,-46,46
31075,3,Negative,-35,35
31075,12,Negative,-50,50
31075,27,Negative,-50,50
31075,41,Negative,-50,50
31075,46,Negative,-50,50
31075,49,Negative,-50,50
31075,51,Negative,-50,50
31075,53,Negative,-50,50
30490,3,Negative,-34,34
30490,12,Negative,-39,39
30490,27,Negative,-37,37
30490,41,Negative,-21,21
30490,46,Negative,-35,35
30490,49,Negative,-30,30
30490,51,Negative,-28,28
30490,53,Negative,-27,27
30582,3,Negative,-46,46
30582,12,Negative,-13,13
30582,27,Negative,-46,46
30582,41,Negative,-27,27
30582,46,Negative,-29,29
30582,49,Negative,-37,37
30582,51,Negative,-36,36
30582,53,Negative,-40,40
27262,3,Negative,1,-1
27262,12,Negative,-39,39
27262,27,Negative,-42,42
27262,41,Negative,-47,47
27262,46,Negative,-47,47
27262,49,Negative,-37,37
27262,51,Negative,-47,47
27262,53,Negative,-49,49
31087,3,Negative,-39,39
31087,12,Negative,-49,49
31087,27,Negative,-50,50
31087,41,Negative,-43,43
31087,46,Negative,-50,50
31087,49,Negative,-50,50
31087,51,Negative,-50,50
31087,53,Negative,-50,50
30452,3,Negative,-41,41
30452,12,Negative,-27,27
30452,27,Negative,-48,48
30452,41,Negative,-43,43
30452,46,Negative,-50,50
30452,49,Negative,35,-35
30452,51,Negative,-45,45
30452,53,Negative,-47,47
30724,3,Negative,-50,50
30724,12,Negative,-47,47
30724,27,Negative,0,0
30724,41,Negative,0,0
30724,46,Negative,0,0
30724,49,Negative,0,0
30724,51,Negative,0,0
30724,53,Negative,0,0
29678,3,Negative,17,-17
29678,12,Negative,-46,46
29678,27,Negative,-50,50
29678,41,Negative,-42,42
29678,46,Negative,-49,49
29678,49,Negative,-19,19
29678,51,Negative,-39,39
29678,53,Negative,-36,36
30725,3,Negative,-35,35
30725,12,Negative,-40,40
30725,27,Negative,-50,50
30725,41,Negative,-50,50
30725,46,Negative,-34,34
30725,49,Negative,-40,40
30725,51,Negative,-50,50
30725,53,Negative,-47,47
30851,3,Negative,-47,47
30851,12,Negative,-18,18
30851,27,Negative,-45,45
30851,41,Negative,-31,31
30851,46,Negative,-38,38
30851,49,Negative,-33,33
30851,51,Negative,-26,26
30851,53,Negative,-30,30
30628,3,Negative,-32,32
30628,12,Negative,-35,35
30628,27,Negative,-21,21
30628,41,Negative,-50,50
30628,46,Negative,-50,50
30628,49,Negative,-50,50
30628,51,Negative,-50,50
30628,53,Negative,-50,50
29734,3,Negative,21,-21
29734,12,Negative,-16,16
29734,27,Negative,-50,50
29734,41,Negative,-34,34
29734,46,Negative,-50,50
29734,49,Negative,0,0
29734,51,Negative,-50,50
29734,53,Negative,-50,50
31108,3,Negative,-37,37
31108,12,Negative,-27,27
31108,27,Negative,0,0
31108,41,Negative,-20,20
31108,46,Negative,-29,29
31108,49,Negative,-25,25
31108,51,Negative,-39,39
31108,53,Negative,1,-1
30529,3,Negative,-9,9
30529,12,Negative,-13,13
30529,27,Negative,-25,25
30529,41,Negative,-19,19
30529,46,Negative,-32,32
30529,49,Negative,-8,8
30529,51,Negative,-37,37
30529,53,Negative,-11,11
29815,3,Negative,-34,34
29815,12,Negative,50,-50
29815,27,Negative,-47,47
29815,41,Negative,26,-26
29815,46,Negative,-50,50
29815,49,Negative,-50,50
29815,51,Negative,23,-23
29815,53,Negative,-43,43
30681,3,Negative,-50,50
30681,12,Negative,0,0
30681,27,Negative,-30,30
30681,41,Negative,-43,43
30681,46,Negative,-40,40
30681,49,Negative,-33,33
30681,51,Negative,-45,45
30681,53,Negative,-38,38
29456,3,Negative,30,-30
29456,12,Negative,-12,12
29456,27,Negative,-16,16
29456,41,Negative,-15,15
29456,46,Negative,-31,31
29456,49,Negative,41,-41
29456,51,Negative,25,-25
29456,53,Negative,0,0
30878,3,Negative,0,0
30878,12,Negative,-29,29
30878,27,Negative,-22,22
30878,41,Negative,-17,17
30878,46,Negative,-15,15
30878,49,Negative,-6,6
30878,51,Negative,-17,17
30878,53,Negative,-13,13
30378,3,Negative,-38,38
30378,12,Negative,-37,37
30378,27,Negative,-50,50
30378,41,Negative,0,0
30378,46,Negative,-50,50
30378,49,Negative,-43,43
30378,51,Negative,-36,36
30378,53,Negative,-8,8
30479,3,Negative,-39,39
30479,12,Negative,-13,13
30479,27,Negative,-25,25
30479,41,Negative,-47,47
30479,46,Negative,-50,50
30479,49,Negative,-50,50
30479,51,Negative,-50,50
30479,53,Negative,-34,34
31071,3,Negative,-26,26
31071,12,Negative,-25,25
31071,27,Negative,-24,24
31071,41,Negative,-28,28
31071,46,Negative,-50,50
31071,49,Negative,-39,39
31071,51,Negative,-50,50
31071,53,Negative,-40,40
30332,3,Negative,-20,20
30332,12,Negative,-23,23
30332,27,Negative,-22,22
30332,41,Negative,-22,22
30332,46,Negative,-25,25
30332,49,Negative,-21,21
30332,51,Negative,-27,27
30332,53,Negative,-15,15
30631,3,Negative,-26,26
30631,12,Negative,-36,36
30631,27,Negative,-35,35
30631,41,Negative,-31,31
30631,46,Negative,-50,50
30631,49,Negative,-33,33
30631,51,Negative,-50,50
30631,53,Negative,-50,50
30564,3,Negative,-37,37
30564,12,Negative,-17,17
30564,27,Negative,-16,16
30564,41,Negative,-22,22
30564,46,Negative,-33,33
30564,49,Negative,-24,24
30564,51,Negative,-23,23
30564,53,Negative,-19,19
30419,3,Negative,-23,23
30419,12,Negative,-50,50
30419,27,Negative,-50,50
30419,41,Negative,-50,50
30419,46,Negative,-50,50
30419,49,Negative,-50,50
30419,51,Negative,-50,50
30419,53,Negative,-50,50
30852,3,Negative,-37,37
30852,12,Negative,-32,32
30852,27,Negative,-26,26
30852,41,Negative,-30,30
30852,46,Negative,-19,19
30852,49,Negative,-25,25
30852,51,Negative,-23,23
30852,53,Negative,-29,29
30403,3,Negative,-28,28
30403,12,Negative,-21,21
30403,27,Negative,-31,31
30403,41,Negative,-50,50
30403,46,Negative,-43,43
30403,49,Negative,-16,16
30403,51,Negative,-29,29
30403,53,Negative,-26,26
30930,3,Negative,0,0
30930,12,Negative,0,0
30930,27,Negative,-50,50
30930,41,Negative,20,-20
30930,46,Negative,50,-50
30930,49,Negative,50,-50
30930,51,Negative,-50,50
30930,53,Negative,-50,50
31120,3,Negative,-35,35
31120,12,Negative,-28,28
31120,27,Negative,-27,27
31120,41,Negative,-15,15
31120,46,Negative,-27,27
31120,49,Negative,-27,27
31120,51,Negative,-26,26
31120,53,Negative,-28,28
29877,3,Negative,39,-39
29877,12,Negative,-42,42
29877,27,Negative,50,-50
29877,41,Negative,-34,34
29877,46,Negative,-48,48
29877,49,Negative,0,0
29877,51,Negative,-37,37
29877,53,Negative,0,0
30927,3,Negative,23,-23
30927,12,Negative,0,0
30927,27,Negative,-16,16
30927,41,Negative,-11,11
30927,46,Negative,-20,20
30927,49,Negative,-12,12
30927,51,Negative,-21,21
30927,53,Negative,-33,33
30827,3,Negative,-50,50
30827,12,Negative,-50,50
30827,27,Negative,-50,50
30827,41,Negative,-50,50
30827,46,Negative,-50,50
30827,49,Negative,-50,50
30827,51,Negative,-50,50
30827,53,Negative,-50,50
30583,3,Negative,-21,21
30583,12,Negative,-50,50
30583,27,Negative,-47,47
30583,41,Negative,-29,29
30583,46,Negative,-36,36
30583,49,Negative,-31,31
30583,51,Negative,-27,27
30583,53,Negative,-27,27
30746,7,Positive,14,14
30746,10,Positive,12,12
30746,15,Positive,15,15
30746,16,Positive,23,23
30746,19,Positive,19,19
30746,33,Positive,14,14
30746,38,Positive,17,17
30746,44,Positive,18,18
29693,7,Positive,33,33
29693,10,Positive,36,36
29693,15,Positive,46,46
29693,16,Positive,41,41
29693,19,Positive,32,32
29693,33,Positive,42,42
29693,38,Positive,42,42
29693,44,Positive,48,48
31111,7,Positive,15,15
31111,10,Positive,10,10
31111,15,Positive,32,32
31111,16,Positive,36,36
31111,19,Positive,21,21
31111,33,Positive,0,0
31111,38,Positive,21,21
31111,44,Positive,6,6
30580,7,Positive,34,34
30580,10,Positive,47,47
30580,15,Positive,50,50
30580,16,Positive,50,50
30580,19,Positive,35,35
30580,33,Positive,36,36
30580,38,Positive,47,47
30580,44,Positive,30,30
30693,7,Positive,16,16
30693,10,Positive,16,16
30693,15,Positive,12,12
30693,16,Positive,15,15
30693,19,Positive,15,15
30693,33,Positive,15,15
30693,38,Positive,23,23
30693,44,Positive,18,18
30785,7,Positive,20,20
30785,10,Positive,27,27
30785,15,Positive,23,23
30785,16,Positive,29,29
30785,19,Positive,30,30
30785,33,Positive,11,11
30785,38,Positive,14,14
30785,44,Positive,30,30
30726,7,Positive,50,50
30726,10,Positive,50,50
30726,15,Positive,50,50
30726,16,Positive,50,50
30726,19,Positive,50,50
30726,33,Positive,50,50
30726,38,Positive,50,50
30726,44,Positive,50,50
30518,7,Positive,39,39
30518,10,Positive,21,21
30518,15,Positive,41,41
30518,16,Positive,50,50
30518,19,Positive,50,50
30518,33,Positive,50,50
30518,38,Positive,31,31
30518,44,Positive,50,50
29787,7,Positive,24,24
29787,10,Positive,42,42
29787,15,Positive,41,41
29787,16,Positive,34,34
29787,19,Positive,41,41
29787,33,Positive,22,22
29787,38,Positive,0,0
29787,44,Positive,33,33
31162,7,Positive,20,20
31162,10,Positive,19,19
31162,15,Positive,20,20
31162,16,Positive,0,0
31162,19,Positive,28,28
31162,33,Positive,21,21
31162,38,Positive,0,0
31162,44,Positive,18,18
30447,7,Positive,32,32
30447,10,Positive,50,50
30447,15,Positive,20,20
30447,16,Positive,50,50
30447,19,Positive,16,16
30447,33,Positive,27,27
30447,38,Positive,18,18
30447,44,Positive,37,37
30160,7,Positive,10,10
30160,10,Positive,27,27
30160,15,Positive,29,29
30160,16,Positive,29,29
30160,19,Positive,15,15
30160,33,Positive,23,23
30160,38,Positive,19,19
30160,44,Positive,22,22
30886,7,Positive,36,36
30886,10,Positive,28,28
30886,15,Positive,36,36
30886,16,Positive,19,19
30886,19,Positive,32,32
30886,33,Positive,0,0
30886,38,Positive,35,35
30886,44,Positive,44,44
31141,7,Positive,30,30
31141,10,Positive,39,39
31141,15,Positive,17,17
31141,16,Positive,32,32
31141,19,Positive,24,24
31141,33,Positive,11,11
31141,38,Positive,32,32
31141,44,Positive,29,29
30939,7,Positive,41,41
30939,10,Positive,41,41
30939,15,Positive,46,46
30939,16,Positive,43,43
30939,19,Positive,42,42
30939,33,Positive,39,39
30939,38,Positive,38,38
30939,44,Positive,47,47
30634,7,Positive,50,50
30634,10,Positive,50,50
30634,15,Positive,48,48
30634,16,Positive,50,50
30634,19,Positive,50,50
30634,33,Positive,50,50
30634,38,Positive,50,50
30634,44,Positive,50,50
30775,7,Positive,50,50
30775,10,Positive,50,50
30775,15,Positive,50,50
30775,16,Positive,50,50
30775,19,Positive,50,50
30775,33,Positive,40,40
30775,38,Positive,50,50
30775,44,Positive,50,50
31135,7,Positive,0,0
31135,10,Positive,19,19
31135,15,Positive,0,0
31135,16,Positive,42,42
31135,19,Positive,47,47
31135,33,Positive,28,28
31135,38,Positive,38,38
31135,44,Positive,39,39
31092,7,Positive,50,50
31092,10,Positive,50,50
31092,15,Positive,50,50
31092,16,Positive,50,50
31092,19,Positive,50,50
31092,33,Positive,50,50
31092,38,Positive,50,50
31092,44,Positive,50,50
30685,7,Positive,50,50
30685,10,Positive,50,50
30685,15,Positive,2,2
30685,16,Positive,50,50
30685,19,Positive,0,0
30685,33,Positive,-10,-10
30685,38,Positive,-25,-25
30685,44,Positive,50,50
31139,7,Positive,50,50
31139,10,Positive,50,50
31139,15,Positive,50,50
31139,16,Positive,50,50
31139,19,Positive,50,50
31139,33,Positive,29,29
31139,38,Positive,50,50
31139,44,Positive,50,50
30579,7,Positive,47,47
30579,10,Positive,39,39
30579,15,Positive,44,44
30579,16,Positive,43,43
30579,19,Positive,42,42
30579,33,Positive,46,46
30579,38,Positive,48,48
30579,44,Positive,35,35
31075,7,Positive,50,50
31075,10,Positive,35,35
31075,15,Positive,50,50
31075,16,Positive,50,50
31075,19,Positive,50,50
31075,33,Positive,50,50
31075,38,Positive,50,50
31075,44,Positive,50,50
30490,7,Positive,22,22
30490,10,Positive,18,18
30490,15,Positive,24,24
30490,16,Positive,33,33
30490,19,Positive,21,21
30490,33,Positive,19,19
30490,38,Positive,23,23
30490,44,Positive,31,31
30582,7,Positive,50,50
30582,10,Positive,50,50
30582,15,Positive,33,33
30582,16,Positive,50,50
30582,19,Positive,32,32
30582,33,Positive,25,25
30582,38,Positive,25,25
30582,44,Positive,19,19
27262,7,Positive,39,39
27262,10,Positive,24,24
27262,15,Positive,46,46
27262,16,Positive,35,35
27262,19,Positive,49,49
27262,33,Positive,47,47
27262,38,Positive,43,43
27262,44,Positive,31,31
31087,7,Positive,50,50
31087,10,Positive,50,50
31087,15,Positive,50,50
31087,16,Positive,31,31
31087,19,Positive,50,50
31087,33,Positive,50,50
31087,38,Positive,-34,-34
31087,44,Positive,50,50
30452,7,Positive,49,49
30452,10,Positive,37,37
30452,15,Positive,50,50
30452,16,Positive,47,47
30452,19,Positive,50,50
30452,33,Positive,24,24
30452,38,Positive,50,50
30452,44,Positive,50,50
30724,7,Positive,50,50
30724,10,Positive,50,50
30724,15,Positive,-50,-50
30724,16,Positive,-50,-50
30724,19,Positive,0,0
30724,33,Positive,0,0
30724,38,Positive,0,0
30724,44,Positive,0,0
29678,7,Positive,8,8
29678,10,Positive,29,29
29678,15,Positive,50,50
29678,16,Positive,0,0
29678,19,Positive,50,50
29678,33,Positive,43,43
29678,38,Positive,23,23
29678,44,Positive,32,32
30725,7,Positive,43,43
30725,10,Positive,50,50
30725,15,Positive,50,50
30725,16,Positive,50,50
30725,19,Positive,38,38
30725,33,Positive,36,36
30725,38,Positive,34,34
30725,44,Positive,48,48
30851,7,Positive,0,0
30851,10,Positive,50,50
30851,15,Positive,40,40
30851,16,Positive,36,36
30851,19,Positive,30,30
30851,33,Positive,31,31
30851,38,Positive,33,33
30851,44,Positive,47,47
30628,7,Positive,40,40
30628,10,Positive,31,31
30628,15,Positive,48,48
30628,16,Positive,40,40
30628,19,Positive,50,50
30628,33,Positive,50,50
30628,38,Positive,50,50
30628,44,Positive,50,50
29734,7,Positive,50,50
29734,10,Positive,50,50
29734,15,Positive,50,50
29734,16,Positive,50,50
29734,19,Positive,50,50
29734,33,Positive,50,50
29734,38,Positive,-11,-11
29734,44,Positive,50,50
31108,7,Positive,-34,-34
31108,10,Positive,-37,-37
31108,15,Positive,46,46
31108,16,Positive,36,36
31108,19,Positive,0,0
31108,33,Positive,-32,-32
31108,38,Positive,-33,-33
31108,44,Positive,26,26
30529,7,Positive,25,25
30529,10,Positive,42,42
30529,15,Positive,22,22
30529,16,Positive,31,31
30529,19,Positive,13,13
30529,33,Positive,9,9
30529,38,Positive,16,16
30529,44,Positive,11,11
29815,7,Positive,16,16
29815,10,Positive,16,16
29815,15,Positive,50,50
29815,16,Positive,31,31
29815,19,Positive,39,39
29815,33,Positive,25,25
29815,38,Positive,32,32
29815,44,Positive,30,30
30681,7,Positive,42,42
30681,10,Positive,50,50
30681,15,Positive,50,50
30681,16,Positive,50,50
30681,19,Positive,50,50
30681,33,Positive,28,28
30681,38,Positive,50,50
30681,44,Positive,50,50
29456,7,Positive,48,48
29456,10,Positive,30,30
29456,15,Positive,25,25
29456,16,Positive,19,19
29456,19,Positive,48,48
29456,33,Positive,-33,-33
29456,38,Positive,29,29
29456,44,Positive,0,0
30878,7,Positive,0,0
30878,10,Positive,32,32
30878,15,Positive,24,24
30878,16,Positive,24,24
30878,19,Positive,22,22
30878,33,Positive,0,0
30878,38,Positive,0,0
30878,44,Positive,19,19
30378,7,Positive,43,43
30378,10,Positive,32,32
30378,15,Positive,38,38
30378,16,Positive,43,43
30378,19,Positive,32,32
30378,33,Positive,28,28
30378,38,Positive,35,35
30378,44,Positive,37,37
30479,7,Positive,48,48
30479,10,Positive,50,50
30479,15,Positive,50,50
30479,16,Positive,50,50
30479,19,Positive,31,31
30479,33,Positive,22,22
30479,38,Positive,25,25
30479,44,Positive,50,50
31071,7,Positive,50,50
31071,10,Positive,38,38
31071,15,Positive,44,44
31071,16,Positive,45,45
31071,19,Positive,50,50
31071,33,Positive,4,4
31071,38,Positive,35,35
31071,44,Positive,50,50
30332,7,Positive,27,27
30332,10,Positive,17,17
30332,15,Positive,16,16
30332,16,Positive,19,19
30332,19,Positive,16,16
30332,33,Positive,19,19
30332,38,Positive,23,23
30332,44,Positive,-6,-6
30631,7,Positive,34,34
30631,10,Positive,43,43
30631,15,Positive,38,38
30631,16,Positive,43,43
30631,19,Positive,41,41
30631,33,Positive,38,38
30631,38,Positive,38,38
30631,44,Positive,38,38
30564,7,Positive,20,20
30564,10,Positive,50,50
30564,15,Positive,50,50
30564,16,Positive,18,18
30564,19,Positive,33,33
30564,33,Positive,15,15
30564,38,Positive,44,44
30564,44,Positive,18,18
30419,7,Positive,50,50
30419,10,Positive,50,50
30419,15,Positive,50,50
30419,16,Positive,50,50
30419,19,Positive,50,50
30419,33,Positive,50,50
30419,38,Positive,50,50
30419,44,Positive,50,50
30852,7,Positive,33,33
30852,10,Positive,43,43
30852,15,Positive,27,27
30852,16,Positive,27,27
30852,19,Positive,30,30
30852,33,Positive,24,24
30852,38,Positive,34,34
30852,44,Positive,29,29
30403,7,Positive,23,23
30403,10,Positive,17,17
30403,15,Positive,36,36
30403,16,Positive,46,46
30403,19,Positive,44,44
30403,33,Positive,28,28
30403,38,Positive,34,34
30403,44,Positive,45,45
30930,7,Positive,0,0
30930,10,Positive,50,50
30930,15,Positive,50,50
30930,16,Positive,50,50
30930,19,Positive,48,48
30930,33,Positive,0,0
30930,38,Positive,50,50
30930,44,Positive,50,50
31120,7,Positive,41,41
31120,10,Positive,26,26
31120,15,Positive,36,36
31120,16,Positive,30,30
31120,19,Positive,35,35
31120,33,Positive,35,35
31120,38,Positive,28,28
31120,44,Positive,26,26
29877,7,Positive,-36,-36
29877,10,Positive,46,46
29877,15,Positive,50,50
29877,16,Positive,50,50
29877,19,Positive,33,33
29877,33,Positive,0,0
29877,38,Positive,28,28
29877,44,Positive,36,36
30927,7,Positive,27,27
30927,10,Positive,41,41
30927,15,Positive,22,22
30927,16,Positive,31,31
30927,19,Positive,17,17
30927,33,Positive,0,0
30927,38,Positive,10,10
30927,44,Positive,22,22
30827,7,Positive,50,50
30827,10,Positive,50,50
30827,15,Positive,50,50
30827,16,Positive,50,50
30827,19,Positive,50,50
30827,33,Positive,50,50
30827,38,Positive,50,50
30827,44,Positive,50,50
30583,7,Positive,50,50
30583,10,Positive,50,50
30583,15,Positive,50,50
30583,16,Positive,40,40
30583,19,Positive,38,38
30583,33,Positive,26,26
30583,38,Positive,27,27
30583,44,Positive,29,29
